SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18660628,    0,    0
100101,18660629,    0,    0
100101,18660630,    0,    0
100101,18660701,    0,    0
100101,18660702,    0,    0
100101,18660703,    0,    0
100101,18660704,    0,    0
100101,18660705,    0,    0
100101,18660706,    0,    0
100101,18660707,    0,    0
100101,18660708,    0,    0
100101,18660709,    0,    0
100101,18660710,    0,    0
100101,18660711,    0,    0
100101,18660712,    0,    0
100101,18660713,    0,    0
100101,18660714,    0,    0
100101,18660715,    0,    0
100101,18660716,    9,    0
100101,18660717,   28,    0
100101,18660718,    0,    0
100101,18660719,    0,    0
100101,18660720,    0,    0
100101,18660721,    0,    0
100101,18660722,    0,    0
100101,18660723,   61,    0
100101,18660724,    0,    0
100101,18660725,    0,    0
100101,18660726,    0,    0
100101,18660727,    0,    0
100101,18660728,    0,    0
100101,18660729,    0,    0
100101,18660730,    0,    0
100101,18660731,    0,    0
100101,18660801,    0,    0
100101,18660802,    0,    0
100101,18660803,    0,    0
100101,18660804,    0,    0
100101,18660805,    0,    0
100101,18660806,    0,    0
100101,18660807,    0,    0
100101,18660808,    0,    0
100101,18660809,    0,    0
100101,18660810,    0,    0
100101,18660811,    0,    0
100101,18660812,    0,    0
100101,18660813,    0,    0
100101,18660814,    0,    0
100101,18660815,    0,    0
100101,18660816,    0,    0
100101,18660817,    0,    0
100101,18660818,    0,    0
100101,18660819,    0,    0
100101,18660820,    0,    0
100101,18660821,    0,    0
100101,18660822,    0,    0
100101,18660823,    0,    0
100101,18660824,    0,    0
100101,18660825,    0,    0
100101,18660826,    0,    0
100101,18660827,    0,    0
100101,18660828,    0,    0
100101,18660829,   44,    0
100101,18660830,    0,    0
100101,18660831,    0,    0
100101,18660901,    0,    0
100101,18660902,    0,    0
100101,18660903,    0,    0
100101,18660904,    0,    0
100101,18660905,    0,    0
100101,18660906,    0,    0
100101,18660907,    0,    0
100101,18660908,    0,    0
100101,18660909,-9999,    9
100101,18660910,    0,    0
100101,18660911,    0,    0
100101,18660912,    0,    0
100101,18660913,    0,    0
100101,18660914,    0,    0
100101,18660915,    0,    0
100101,18660916,    0,    0
100101,18660917,  321,    0
100101,18660918,  230,    0
100101,18660919,   52,    0
100101,18660920,    0,    0
100101,18660921,    0,    0
100101,18660922,    0,    0
100101,18660923,    0,    0
100101,18660924,    0,    0
100101,18660925,  366,    0
100101,18660926,    0,    0
100101,18660927,    0,    0
100101,18660928,   92,    0
100101,18660929,  342,    0
100101,18660930,    0,    0
100101,18661001,    0,    0
100101,18661002,  243,    0
100101,18661003,    0,    0
100101,18661004,    0,    0
100101,18661005,    0,    0
100101,18661006,    0,    0
100101,18661007,    0,    0
100101,18661008,    0,    0
100101,18661009,    0,    0
100101,18661010,    0,    0
100101,18661011,   72,    0
100101,18661012,  100,    0
100101,18661013,  221,    0
100101,18661014,    0,    0
100101,18661015,  317,    0
100101,18661016,   20,    0
100101,18661017,    0,    0
100101,18661018,    0,    0
